"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"367","Adam Tomlinson","MEL","DEF",63,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0
"368","Adam Tomlinson","MEL","MID",63,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0
"369","Sam Draper","ESS","RUC",63,343402,378100,-34698,8,70.4,69.38,4.7775,47.06,57.75,0.12,10,6.46,3.77,3.54,0.65,0
"370","Sam Simpson","GEE","FWD",62,342558,350600,-8042,6,72.5,72.78,4.47,35.29,72.5,0.11,10.49,6.05,2.83,4.4,0.59,0
"371","Nathan Broad","RIC","DEF",62,341292,349200,-7908,13,65,63.25,3.77,76.47,58.75,0.06,9.12,5.1,6.12,3.6,0.33,0
"372","Jye Caldwell","ESS","MID",62,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,0
"373","Jye Caldwell","ESS","FWD",62,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,0
"374","Darcy Tucker","FRE","MID",62,339464,347900,-8436,8,64.8,70.04,4.67,47.06,64.8,0,10.09,6.32,3.77,3.95,0.01,0
"375","Daniel Talia","ADE","DEF",62,339324,354600,-15276,14,66,67.77,3.14,82.35,44.5,0.14,9.77,4.25,6.59,2.77,0.75,0
"376","Michael Hartley","HAW","DEF",62,339042,317800,21242,2,84.5,83.5,4.45,11.76,84.5,0,12.03,6.02,0.95,5.1,0.01,0
"377","Brandon Starcevich","BRI","DEF",62,339042,307300,31742,16,57.2,55.67,3.34,94.12,60.67,0.06,8.02,4.52,7.53,3.71,0.33,0
"378","Lachlan Sholl","ADE","DEF",62,338902,343200,-4298,8,63.9,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,0
"379","Lachlan Sholl","ADE","MID",62,338902,343200,-4298,8,63.9,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,0
"380","Tom Williamson","CAR","DEF",62,338339,313400,24939,15,58.3,57.33,3.75,88.24,59.8,0,8.26,5.07,7.06,3.66,0.01,0
"381","Daniel Lloyd","GWS","FWD",62,338058,330900,7158,12,61.6,60.58,3.43,70.59,75.67,0.08,8.73,4.64,5.65,4.59,0.43,0
"382","Josh Jenkins","GEE","FWD",62,337917,323400,14517,1,86,85,4.51,5.88,86,0,12.25,6.1,0.48,5.19,0.01,0
"383","Charlie Ballard","GCS","DEF",62,337495,307600,29895,16,57.2,58.91,3.46,94.12,53.4,0,8.49,4.68,7.53,3.29,0.01,0
"384","Josh Thomas","COL","FWD",61,336371,305800,30571,12,56.9,70.21,3.36,70.59,58.57,0,10.12,4.55,5.65,3.59,0.01,0
"385","Ed Richards","WBD","MID",61,336089,309300,26789,16,57.6,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,0
"386","Ed Richards","WBD","FWD",61,336089,309300,26789,16,57.6,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,0
"387","Esava Ratugolea","GEE","FWD",61,336089,369400,-33311,12,68.8,68.33,2.79,70.59,68.8,0.08,9.85,3.78,5.65,4.19,0.43,0
"388","Cale Hooker","ESS","DEF",61,335949,372700,-36751,8,69.4,75.71,3.68,47.06,69.4,0,10.91,4.98,3.77,4.22,0.01,0
"389","Nick Holman","GCS","FWD",61,335667,328600,7067,12,61.2,64.25,3.53,70.59,61.2,0.08,9.26,4.78,5.65,3.75,0.43,0
"390","Bailey Scott","NME","MID",61,335105,332300,2805,13,61.8,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,0
"391","Bailey Scott","NME","FWD",61,335105,332300,2805,13,61.8,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,0
"392","Tom Cutler","ESS","MID",61,332996,364700,-31704,8,67.9,66.88,4.55,47.06,67.5,0,9.64,6.15,3.77,4.11,0.01,0
"393","Brayden Sier","COL","MID",61,332855,313800,19055,3,73,72,5.5,17.65,73,0,10.37,7.44,1.42,4.43,0.01,0
"394","Martin Gleeson","ESS","DEF",61,332574,293400,39174,13,54.6,68.33,3.56,76.47,45.8,0,9.85,4.82,6.12,2.85,0.01,0
"395","Sydney Stack","RIC","MID",61,332152,277600,54552,9,51.7,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,0
"396","Sydney Stack","RIC","FWD",61,332152,277600,54552,9,51.7,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,0
"397","Charlie Constable","GEE","MID",60,330042,266500,63542,2,62,77,5.64,11.76,62,0,11.09,7.63,0.95,3.79,0.01,0
"398","Jaidyn Stephenson","NME","FWD",60,329480,354100,-24620,12,65.9,77.29,2.99,70.59,41.25,0,11.14,4.05,5.65,2.58,0.01,0
"399","Matt Guelfi","ESS","DEF",60,329199,324300,4899,11,60.4,59.36,4.18,64.71,65.67,0,8.56,5.65,5.18,4.01,0.01,0
"400","Quinton Narkle","GEE","MID",60,329199,310400,18799,5,64.2,77,3.67,29.41,64.2,0.2,11.09,4.97,2.36,3.92,1.07,0
"401","Tyson Stengle","ADE","FWD",60,328355,305300,23055,12,56.8,59,3.45,70.59,67.25,0.08,8.5,4.67,5.65,4.1,0.43,0
"402","Jordan Roughead","COL","DEF",60,326949,311300,15649,15,57.9,59.73,2.95,88.24,58.33,0,8.61,3.99,7.06,3.58,0.01,0
"403","Harry McKay","CAR","FWD",60,326949,319900,7049,13,59.5,61.53,2.65,76.47,77,0,8.87,3.59,6.12,4.66,0.01,0
"404","Griffin Logue","FRE","DEF",59,325683,339400,-13717,5,70.2,69.2,3.27,29.41,70.2,0.4,9.97,4.43,2.36,4.27,2.13,0
"405","Max King","STK","FWD",59,325683,327400,-1717,16,60.9,60.11,2.6,94.12,56,0,8.66,3.52,7.53,3.44,0.01,0
"406","Riley Bonner","POR","DEF",59,324699,318200,6499,9,59.2,67.67,4.39,52.94,51,0,9.75,5.94,4.24,3.15,0.01,0
"407","James Frawley","STK","DEF",59,324418,295900,28518,14,55.1,62.36,2.77,82.35,61,0,8.99,3.75,6.59,3.73,0.01,0
"408","Jake Aarts","RIC","FWD",59,323714,329400,-5686,13,61.3,59.64,3.32,76.47,62.17,0,8.6,4.49,6.12,3.8,0.01,0
"409","Jake Kolodjashnij","GEE","DEF",59,323152,330200,-7048,13,61.5,58.65,3.35,76.47,57.88,0.06,8.45,4.53,6.12,3.55,0.33,0
"410","Jarrod Lienert","POR","DEF",59,322730,289200,33530,5,59.8,79.14,4.08,29.41,59.8,0,11.4,5.52,2.36,3.66,0.01,0
"411","Jackson Hately","ADE","MID",59,322730,310300,12430,6,64.2,63.17,4.58,35.29,64.2,0.17,9.1,6.19,2.83,3.92,0.91,0
"412","Dylan Stephens","SYD","MID",59,321746,337800,-16054,8,62.9,61.88,4.27,47.06,72.5,0,8.92,5.78,3.77,4.4,0.01,0
"413","Easton Wood","WBD","DEF",59,321605,297700,23905,12,55.4,71.04,3.08,70.59,37.67,0.08,10.24,4.17,5.65,2.38,0.43,0
"414","Sam Frost","HAW","DEF",59,321043,304900,16143,16,56.8,55.5,3.26,94.12,46.25,0,8,4.41,7.53,2.88,0.01,0
"415","Phil Davis","GWS","DEF",58,320339,290700,29639,10,54.1,72.14,2.81,58.82,54.1,0.1,10.4,3.8,4.71,3.33,0.54,0
"416","Connor Blakely","FRE","MID",58,320339,295000,25339,5,61,80.18,5,29.41,33,0,11.55,6.76,2.36,2.1,0.01,0
"417","Tom Atkins","GEE","FWD",58,319355,293500,25855,11,54.6,61.12,3.14,64.71,73.4,0,8.81,4.25,5.18,4.46,0.01,0
"418","Jack Ziebell","NME","FWD",58,319355,257900,61455,8,48,86.04,2.62,47.06,48,0,12.4,3.55,3.77,2.98,0.01,0
"419","Eddie Betts","CAR","FWD",58,319214,308800,10414,15,57.5,56.47,3.15,88.24,46,0.07,8.14,4.26,7.06,2.86,0.38,0
"420","Aaron Francis","ESS","DEF",58,318371,320300,-1929,8,59.6,74.8,3.27,47.06,59.6,0,10.78,4.43,3.77,3.65,0.01,0
"421","Ben King","GCS","FWD",58,318371,298700,19671,17,55.6,54.59,2.49,100,49.6,0.06,7.87,3.37,8,3.07,0.33,0
"422","Lachlan Murphy","ADE","FWD",58,317949,328600,-10651,12,61.2,60.17,3.27,70.59,63,0,8.67,4.43,5.65,3.85,0.01,0
"423","Tom McCartin","SYD","FWD",58,317808,312800,5008,14,58.2,57.21,2.9,82.35,62.4,0,8.25,3.93,6.59,3.82,0.01,0
"424","Dean Kent","STK","FWD",58,317105,335200,-18095,13,62.4,60.69,3.24,76.47,41.33,0.13,8.75,4.39,6.12,2.59,0.7,0
"425","Daniel McStay","BRI","FWD",57,315136,333800,-18664,15,62.1,57.41,2.65,88.24,51.17,0.06,8.27,3.59,7.06,3.16,0.33,0
"426","Lin Jong","WBD","MID",57,314996,318100,-3104,3,74,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,0
"427","Lin Jong","WBD","FWD",57,314996,318100,-3104,3,74,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,0
"428","Tom De Koning","CAR","RUC",57,314996,305500,9496,7,56.9,55.86,4.795,41.18,62.5,0.14,8.05,6.48,3.3,3.82,0.75,0
"429","Jack Lonie","STK","FWD",57,313449,351200,-37751,11,65.4,62.38,3.45,64.71,56,0,8.99,4.67,5.18,3.44,0.01,0
"430","Josh Bruce","WBD","FWD",57,312746,275000,37746,16,51.2,50.18,2.58,94.12,59.75,0.06,7.23,3.49,7.53,3.66,0.33,0
"431","Lachie Fogarty","CAR","FWD",57,311340,319100,-7760,6,66,65,4.35,35.29,51,0.17,9.37,5.88,2.83,3.15,0.91,0
"432","Aaron Naughton","WBD","FWD",57,310496,329700,-19204,11,61.4,63.64,2.26,64.71,61.4,0.17,9.17,3.06,5.18,3.76,0.91,0
"433","Jack Ross","RIC","MID",56,308949,333100,-24151,7,62,61,4.58,41.18,60,0,8.79,6.19,3.3,3.68,0.01,0
"434","Josh Rotham","WCE","DEF",56,306980,331500,-24520,10,61.7,60.7,3.74,58.82,53.6,0,8.75,5.06,4.71,3.3,0.01,0
"435","Tyler Brown","COL","MID",56,306277,311000,-4723,9,57.9,56.89,3.7,52.94,71,0,8.2,5.01,4.24,4.32,0.01,0
"436","Ben McKay","NME","DEF",56,305433,333600,-28167,11,62.1,61.09,3.09,64.71,57.8,0,8.8,4.18,5.18,3.55,0.01,0
"437","Harry Schoenberg","ADE","FWD",56,304590,315600,-11010,8,58.8,57.75,4.16,47.06,64.4,0,8.32,5.63,3.77,3.93,0.01,0
"438","Lewis Melican","SYD","DEF",55,303887,324700,-20813,9,60.4,59.44,3.38,52.94,59.4,0.11,8.57,4.57,4.24,3.64,0.59,0
"439","Oleg Markov","GCS","DEF",55,303887,314300,-10413,6,65,64,3.91,35.29,70,0,9.22,5.29,2.83,4.26,0.01,0
"440","Dylan Clarke","ESS","MID",55,303746,348600,-44854,8,64.9,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,0
"441","Dylan Clarke","ESS","FWD",55,303746,348600,-44854,8,64.9,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,0
"442","Alex Neal-Bullen","MEL","FWD",55,302480,310100,-7620,7,57.7,71.67,3.04,41.18,61.5,0,10.33,4.11,3.3,3.76,0.01,0
"443","Ben Brown","MEL","FWD",55,301215,260300,40915,9,48.4,76.67,2.3,52.94,48.4,0,11.05,3.12,4.24,3,0.01,0
"444","Dylan Moore","HAW","FWD",55,301074,302300,-1226,3,70.3,69.33,4.23,17.65,70.3,0,9.99,5.72,1.42,4.27,0.01,0
"445","Curtis Taylor","NME","FWD",55,300652,315800,-15148,9,58.8,57.78,3.41,52.94,58.8,0.11,8.33,4.61,4.24,3.61,0.59,0
"446","Adam Kennedy","GWS","MID",54,298402,300900,-2498,6,56,75.11,3.8,35.29,38.5,0,10.82,5.14,2.83,2.42,0.01,0
"447","Orazio Fantasia","POR","FWD",54,296855,271800,25055,5,56.2,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,0
"448","Orazio Fantasia","POR","DEF",54,296855,271800,25055,5,56.2,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,0
"449","Mabior Chol","RIC","RUC",54,296715,327200,-30485,10,60.9,59.09,3.6225,58.82,47.67,0,8.52,4.9,4.71,2.96,0.01,0
"450","Todd Marshall","POR","FWD",54,296293,377400,-81107,12,70.2,63.14,2.57,70.59,32.67,0.14,9.1,3.48,5.65,2.09,0.75,0
"451","Noah Answerth","BRI","DEF",54,295449,304500,-9051,9,56.7,57.9,3.78,52.94,53.5,0,8.35,5.11,4.24,3.3,0.01,0
"452","Connor Budarick","GCS","DEF",54,295168,256500,38668,15,47.7,46.73,3.22,88.24,45.33,0,6.74,4.36,7.06,2.82,0.01,0
"453","Matt Rowell","GCS","MID",54,294465,495100,-200635,5,102.4,102.4,0,0.294117647058824,102.4,0,14.75,0.01,0.03,6.14,0.01,0
"454","Mitchell Hinge","ADE","MID",53,293059,328800,-35741,1,102,102,0,0.0588235294117647,102,0,14.69,0.01,0.01,6.12,0.01,0
"455","Shaun McKernan","STK","FWD",53,292777,245900,46877,9,45.8,70.33,2.65,52.94,45.8,0,10.13,3.59,4.24,2.85,0.01,0
"456","Brayden Ham","ESS","MID",53,292215,277800,14415,10,51.7,50.7,3.27,58.82,71,0,7.31,4.43,4.71,4.32,0.01,0
"457","Braydon Preuss","GWS","RUC",53,290809,303000,-12191,3,62.7,64.43,4.5325,17.65,62.7,0,9.29,6.13,1.42,3.83,0.01,0
"458","Darcy Fogarty","ADE","FWD",53,290387,286400,3987,10,53.3,62.25,2.58,58.82,56.5,0,8.97,3.49,4.71,3.47,0.01,0
"459","Joe Daniher","BRI","FWD",53,290246,233300,56946,4,48.2,76.36,3.14,23.53,34,0.25,11,4.25,1.89,2.16,1.34,0
"460","James Stewart","ESS","FWD",53,290106,295000,-4894,10,54.9,61.45,2.48,58.82,60.17,0,8.86,3.36,4.71,3.69,0.01,0
"461","Will Brodie","GCS","MID",53,288840,344900,-56060,1,36,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,0
"462","Will Brodie","GCS","FWD",53,288840,344900,-56060,1,36,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,0
"463","Bailey Dale","WBD","FWD",53,288277,298500,-10223,9,55.6,61.08,2.98,52.94,55.6,0,8.8,4.03,4.24,3.42,0.01,0
"464","Mitch Crowden","FRE","FWD",53,288277,295500,-7223,10,55,59.8,2.8,58.82,54.8,0,8.62,3.79,4.71,3.37,0.01,0
"465","Laitham Vandermeer","WBD","MID",52,287715,278900,8815,12,51.9,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,0
"466","Laitham Vandermeer","WBD","FWD",52,287715,278900,8815,12,51.9,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,0
"467","Sam Weideman","MEL","FWD",52,287574,303800,-16226,13,56.5,55.82,2.59,76.47,44.33,0,8.05,3.51,6.12,2.76,0.01,0
"468","Jake Stringer","ESS","FWD",52,287293,282600,4693,10,52.6,66.14,2.41,58.82,47,0,9.53,3.26,4.71,2.92,0.01,0
"469","Roarke Smith","WBD","MID",52,286309,281400,4909,5,58.2,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,0
"470","Roarke Smith","WBD","FWD",52,286309,281400,4909,5,58.2,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,0
"471","Kane Farrell","POR","MID",52,285887,309200,-23313,11,57.5,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,0
"472","Kane Farrell","POR","FWD",52,285887,309200,-23313,11,57.5,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,0
"473","Isaac Cumming","GWS","DEF",52,285606,288000,-2394,3,67,66,3.91,17.65,67,0,9.51,5.29,1.42,4.08,0.01,0
"474","Ryan Burton","POR","DEF",52,285465,318800,-33335,6,59.3,71,4.09,35.29,15,0.12,10.23,5.53,2.83,1.06,0.65,0
"475","Tobe Watson","FRE","DEF",52,285184,303700,-18516,3,70.7,69.67,3.33,17.65,70.7,0,10.04,4.51,1.42,4.3,0.01,0
"476","David Astbury","RIC","DEF",52,285043,400400,-115357,5,82.8,68.89,4.25,29.41,35,0,9.93,5.75,2.36,2.22,0.01,0
"477","Daniel Howe","HAW","DEF",52,284340,280500,3840,5,58,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,0
"478","Daniel Howe","HAW","MID",52,284340,280500,3840,5,58,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,0
"479","Jake Waterman","WCE","FWD",52,284059,323600,-39541,9,60.2,58.6,3.6,52.94,42,0,8.45,4.87,4.24,2.63,0.01,0
"480","Jake Riccardi","GWS","FWD",52,283777,336500,-52723,5,69.6,68.6,3.48,29.41,52,0,9.89,4.71,2.36,3.21,0.01,0
"481","Mitch Lewis","HAW","FWD",52,283777,199500,84277,8,37.1,64.58,1.83,47.06,76,0,9.31,2.48,3.77,4.61,0.01,0
"482","Will Walker","NME","MID",51,281387,244500,36887,2,65,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,0
"483","Will Walker","NME","FWD",51,281387,244500,36887,2,65,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,0
"484","Nic Newman","CAR","DEF",51,281246,415400,-134154,2,23.5,96.27,2.67,11.76,23.5,0,13.87,3.62,0.95,1.55,0.01,0
"485","Zaine Cordy","WBD","DEF",51,280824,313700,-32876,13,58.4,55.47,2.72,76.47,34,0,8,3.68,6.12,2.16,0.01,0
"486","Colin O'Riordan","SYD","DEF",51,279981,268000,11981,8,49.9,60,3.24,47.06,49.9,0,8.65,4.39,3.77,3.09,0.01,0
"487","Kysaiah Pickett","MEL","FWD",51,278996,256400,22596,14,47.7,46.71,2.63,82.35,47.5,0,6.73,3.56,6.59,2.95,0.01,0
"488","Oskar Baker","MEL","MID",51,278996,290100,-11104,3,60,59,4.61,17.65,60,0,8.5,6.23,1.42,3.68,0.01,0
"489","Chayce Jones","ADE","MID",51,278434,236800,41634,15,44.1,47,2.88,88.24,32,0,6.78,3.9,7.06,2.05,0.01,0
"490","Mitch Brown","MEL","FWD",51,278293,280500,-2207,5,52.2,51.2,3.84,29.41,80,0,7.38,5.2,2.36,4.84,0.01,0
"491","Levi Greenwood","COL","MID",51,277449,276800,649,4,57.2,64.5,3.7,23.53,57.33,0,9.3,5.01,1.89,3.52,0.01,0
"492","Jay Lockhart","MEL","DEF",51,276887,289600,-12713,10,53.9,52.9,2.97,58.82,53.9,0,7.63,4.02,4.71,3.32,0.01,0
"493","Kyron Hayden","NME","DEF",50,274356,281400,-7044,8,52.4,51.38,3.29,47.06,52.4,0.12,7.41,4.45,3.77,3.23,0.65,0
"494","Mitch McGovern","CAR","FWD",50,273653,283900,-10247,12,52.8,51.83,2.61,70.59,45,0,7.47,3.53,5.65,2.8,0.01,0
"495","Paddy Ryder","STK","RUC",50,271824,505900,-234076,13,94.2,94.2,0,0.764705882352941,94.2,0,13.57,0.01,0.07,5.67,0.01,0
"496","Jack Bytel","STK","MID",49,270418,280500,-10082,3,58,57,4.45,17.65,58,0,8.22,6.02,1.42,3.56,0.01,0
"497","Archie Smith","BRI","RUC",49,269715,217100,52615,5,40.4,67.33,3.3775,29.41,40.4,0,9.7,4.57,2.36,2.54,0.01,0
"498","Mason Cox","COL","FWD",49,269575,312200,-42625,9,58.1,57,1.99,52.94,65.5,0,8.22,2.7,4.24,4,0.01,0
"499","Sam Wicks","SYD","FWD",49,269153,316200,-47047,7,58.9,57.86,2.83,41.18,59.75,0,8.34,3.83,3.3,3.66,0.01,0
"500","Sam Taylor","GWS","DEF",49,268871,323400,-54529,4,67,66,2.68,23.53,67,0,9.51,3.63,1.89,4.08,0.01,0
"501","Brandon Zerk-Thatcher","ESS","DEF",49,268590,255200,13390,10,47.5,55,2.71,58.82,44.6,0,7.93,3.67,4.71,2.78,0.01,0
"502","Bobby Hill","GWS","FWD",49,267465,287200,-19735,5,59.4,58.4,2.88,29.41,53,0.2,8.42,3.9,2.36,3.27,1.07,0
"503","Mabior Chol","RIC","FWD",49,267325,327200,-59875,10,60.9,59.09,2.07,58.82,47.67,0,8.52,2.81,4.71,2.96,0.01,0
"504","Jarrod Brander","WCE","MID",49,266903,295500,-28597,8,55,54,3.89,47.06,34,0,7.78,5.26,3.77,2.16,0.01,0
"505","Jarrod Brander","WCE","FWD",49,266903,295500,-28597,8,55,54,3.89,47.06,34,0,7.78,5.26,3.77,2.16,0.01,0
"506","Jarman Impey","HAW","FWD",49,266762,212800,53962,5,39.6,71.12,2.92,29.41,38,0,10.25,3.95,2.36,2.4,0.01,0
"507","Charlie Spargo","MEL","FWD",48,264653,298200,-33547,8,55.5,54.5,2.74,47.06,56.5,0,7.86,3.71,3.77,3.47,0.01,0
"508","Rhylee West","WBD","FWD",48,264512,278000,-13488,4,57.5,56.5,3.87,23.53,57.5,0,8.14,5.24,1.89,3.53,0.01,0
"509","Travis Colyer","FRE","FWD",48,263668,275800,-12132,9,51.3,50.8,2.96,52.94,51.3,0,7.32,4.01,4.24,3.17,0.01,0
"510","Jayden Laverde","ESS","FWD",48,263528,308000,-44472,6,57.3,62,2.54,35.29,57.3,0,8.94,3.44,2.83,3.52,0.01,0
"511","Bailey Banfield","FRE","FWD",48,263106,288200,-25094,5,59.6,58.6,3.13,29.41,59.6,0,8.45,4.24,2.36,3.65,0.01,0
"512","Sam Gray","SYD","FWD",48,263106,276300,-13194,7,51.4,50.43,3.66,41.18,51.4,0,7.27,4.95,3.3,3.18,0.01,0
"513","Mitch Hannan","WBD","FWD",48,262965,283600,-20635,9,52.8,52.27,2.7,52.94,52.8,0,7.53,3.66,4.24,3.26,0.01,0
"514","Hayden McLean","SYD","FWD",48,262262,317000,-54738,6,59,58,2.16,35.29,59,0.17,8.36,2.93,2.83,3.62,0.91,0
"515","Luke Jackson","MEL","FWD",48,261559,312500,-50941,6,58.2,57.17,2.92,35.29,58.2,0,8.24,3.95,2.83,3.57,0.01,0
"516","Changkuoth Jiath","HAW","DEF",47,260434,266500,-6066,5,49.6,64.5,3.05,29.41,43.5,0,9.3,4.13,2.36,2.72,0.01,0
"517","Hayden Young","FRE","DEF",47,260153,279400,-19247,5,52,51,3.33,29.41,52,0.2,7.35,4.51,2.36,3.21,1.07,0
"518","Jordan Clark","GEE","DEF",47,260153,241800,18353,3,50,58.7,4.08,17.65,50,0,8.46,5.52,1.42,3.09,0.01,0
"519","Jordan Clark","GEE","MID",47,260153,241800,18353,3,50,58.7,4.08,17.65,50,0,8.46,5.52,1.42,3.09,0.01,0
"520","Tom Sparrow","MEL","MID",47,260012,337200,-77188,5,62.8,61.8,3.78,29.41,33,0,8.91,5.11,2.36,2.1,0.01,0
"521","Nick Larkey","NME","FWD",47,259731,263800,-4069,10,49.1,57.42,2.07,58.82,42.5,0,8.28,2.81,4.71,2.66,0.01,0
"522","Lewis Taylor","SYD","FWD",47,257340,265600,-8260,9,49.4,48.44,2.96,52.94,49.4,0,6.98,4.01,4.24,3.06,0.01,0
"523","Tarryn Thomas","NME","FWD",47,256215,290100,-33885,6,54,59.09,2.61,35.29,54,0,8.52,3.53,2.83,3.33,0.01,0
"524","Bradley Close","GEE","FWD",47,255653,257200,-1547,8,53.2,52.25,2.82,47.06,49.33,0,7.53,3.82,3.77,3.05,0.01,0
"525","Jack Mahony","NME","FWD",46,254668,271900,-17232,10,50.6,49.6,2.8,58.82,39,0,7.15,3.79,4.71,2.45,0.01,0
"526","Josh Corbett","GCS","FWD",46,254247,273200,-18953,7,50.9,49.86,3.1,41.18,55,0,7.19,4.2,3.3,3.38,0.01,0
"527","Dylan Roberton","STK","DEF",46,251434,139700,111734,1,26,83.12,2.74,5.88,26,0,11.98,3.71,0.48,1.7,0.01,0
"528","Louis Butler","WBD","DEF",46,251294,191800,59494,2,51,50,4.84,11.76,51,0,7.21,6.55,0.95,3.15,0.01,0
"529","Matthew Cottrell","CAR","MID",46,250731,262200,-11469,5,48.8,47.8,3.77,29.41,56.5,0,6.89,5.1,2.36,3.47,0.01,0
"530","Oliver Hanrahan","HAW","FWD",46,250169,237200,12969,7,44.1,49.44,3.4,41.18,44.1,0,7.13,4.6,3.3,2.75,0.01,0
"531","Caleb Graham","GCS","DEF",45,249465,284800,-35335,7,53,52,2.5,41.18,57.67,0,7.5,3.39,3.3,3.54,0.01,0
"532","Jack Payne","BRI","DEF",45,249465,255100,-5635,4,52.8,59.8,2.79,23.53,56,0,8.62,3.78,1.89,3.44,0.01,0
"533","Brayden Ainsworth","WCE","MID",45,248481,253900,-5419,8,47.2,48,2.99,47.06,47,0,6.92,4.05,3.77,2.92,0.01,0
"534","Brayden Ainsworth","WCE","FWD",45,248481,253900,-5419,8,47.2,48,2.99,47.06,47,0,6.92,4.05,3.77,2.92,0.01,0
"535","Ryan Gardner","WBD","DEF",45,247215,232800,14415,9,43.3,45.5,2.45,52.94,56.2,0,6.56,3.32,4.24,3.45,0.01,0
"536","Ben Ronke","SYD","FWD",45,246090,275600,-29510,3,57,56.2,3.3,17.65,57,0,8.1,4.47,1.42,3.5,0.01,0
"537","Sam Sturt","FRE","FWD",45,244825,265100,-20275,3,61.7,60.67,2.56,17.65,61.7,0,8.74,3.47,1.42,3.77,0.01,0
"538","Jack Buckley","GWS","DEF",44,243840,223800,20040,2,59.5,58.5,3.18,11.76,59.5,0,8.43,4.3,0.95,3.65,0.01,0
"539","Jack Buckley","GWS","MID",44,243840,223800,20040,2,59.5,58.5,3.18,11.76,59.5,0,8.43,4.3,0.95,3.65,0.01,0
"540","Patrick Naish","RIC","MID",44,243840,180500,63340,1,42,69.5,3.1,5.88,42,0,10.02,4.2,0.48,2.63,0.01,0
"541","Darcy Cameron","COL","FWD",44,243278,302900,-59622,8,56.4,51.7,2.41,47.06,36,0.1,7.45,3.26,3.77,2.28,0.54,0
"542","James Bell","SYD","FWD",44,241028,267300,-26272,8,49.8,48.75,2.95,47.06,37,0,7.03,3.99,3.77,2.34,0.01,0
"543","Jayden Hunt","MEL","FWD",44,240606,163300,77306,6,49,59.38,1.97,35.29,49,0,8.56,2.67,2.83,3.04,0.01,0
"544","Taylor Garner","NME","FWD",44,239622,267400,-27778,2,45,59.22,3.5,11.76,45,0,8.54,4.74,0.95,2.8,0.01,0
"545","Mark Hutchings","WCE","MID",44,239481,157600,81881,3,29.3,68.89,2.79,17.65,29.3,0,9.93,3.78,1.42,1.89,0.01,0
"546","Mark Hutchings","WCE","FWD",44,239481,157600,81881,3,29.3,68.89,2.79,17.65,29.3,0,9.93,3.78,1.42,1.89,0.01,0
"547","Billy Frampton","ADE","FWD",44,239059,286100,-47041,5,53.2,52.2,2.83,29.41,53.2,0,7.52,3.83,2.36,3.28,0.01,0
"548","Jacob Townsend","GCS","FWD",44,239059,238200,859,12,44.3,43.33,2.07,70.59,36,0,6.25,2.81,5.65,2.28,0.01,0
"549","Kaiden Brand","SYD","DEF",43,234700,245000,-10300,2,57,56,3.07,11.76,57,0,8.07,4.16,0.95,3.5,0.01,0
"550","Neville Jetta","MEL","DEF",42,230481,186300,44181,6,34.7,59.21,2.08,35.29,34.7,0,8.53,2.82,2.83,2.2,0.01,0
